5
5
4
5;1;0;0;
1;2;0;1;
2;3;1;2;
3;4;2;3;
9;4;3;4;
10;6;5;0;
6;7;5;6;
7;8;6;7;
13;8;7;8;
14;9;9;4;
10;10;10;5;
16;12;11;11;
17;12;11;12;
13;13;13;8;
19;14;14;9;
15;16;15;15;
16;16;15;11;
17;18;17;12;
18;19;17;18;
24;19;18;14;
20;21;20;20;
21;22;20;21;
22;23;21;22;
23;24;22;23;
24;24;23;19;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-1;-10;-1;
-10;-1;-1;-10;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-1;
-10;-10;-10;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-10;-10;-10;-1;
-1;-10;-10;-1;
-10;-1;-10;-10;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-1;-10;-1;-1;
-10;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
